Entity,Code,Year,Age-standardized death rate from cardiovascular diseases among both sexes,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World Bank's income classification,Continent
Afghanistan,AFG,2021,495.5473,1516.2733,40000411.0,Low-income countries,Asia
Albania,ALB,2021,256.60635,14596.016,2849643.0,Upper-middle-income countries,Europe
Algeria,DZA,2021,305.71576,11029.139,44761101.0,Lower-middle-income countries,Africa
Angola,AGO,2021,332.9626,5911.8354,34532427.0,Lower-middle-income countries,Africa
Antigua and Barbuda,ATG,2021,123.54684,20501.162,92358.0,High-income countries,Americas
Argentina,ARG,2021,157.68149,21599.797,45312283.0,Upper-middle-income countries,Americas
Armenia,ARM,2021,364.27945,14206.545,2870339.0,Upper-middle-income countries,Asia
Aruba,ABW,2021,,37333.516,107565.0,High-income countries,Unknown
Australia,AUS,2021,71.3781,49609.23,25956416.0,High-income countries,Oceania
Austria,AUT,2021,117.81371,53817.305,8967053.0,High-income countries,Europe
Azerbaijan,AZE,2021,266.5256,14433.904,10234373.0,Upper-middle-income countries,Asia
Bahamas,BHS,2021,203.19183,30463.084,396381.0,High-income countries,Americas
Bahrain,BHR,2021,265.5515,49754.047,1501762.0,High-income countries,Asia
Bangladesh,BGD,2021,242.49355,5911.013,167658855.0,Lower-middle-income countries,Asia
Barbados,BRB,2021,135.98112,13869.242,282156.0,High-income countries,Americas
Belarus,BLR,2021,368.0172,19872.693,9251367.0,Upper-middle-income countries,Europe
Belgium,BEL,2021,75.250534,52174.906,11570842.0,High-income countries,Europe
Belize,BLZ,2021,146.4836,8826.859,395356.0,Upper-middle-income countries,Americas
Benin,BEN,2021,274.15805,3321.552,13413423.0,Lower-middle-income countries,Africa
Bermuda,BMU,2021,,78570.49,64672.0,High-income countries,Unknown
Bhutan,BTN,2021,179.65866,11595.684,775451.0,Lower-middle-income countries,Asia
Bolivia,BOL,2021,168.2964,8052.6,11937369.0,Lower-middle-income countries,Americas
Bosnia and Herzegovina,BIH,2021,266.0802,15893.156,3244909.0,Upper-middle-income countries,Europe
Botswana,BWA,2021,212.19434,14906.897,2401449.0,Upper-middle-income countries,Africa
Brazil,BRA,2021,166.21169,14735.582,209550291.0,Upper-middle-income countries,Americas
Brunei,BRN,2021,164.96596,60127.023,451723.0,High-income countries,Asia
Bulgaria,BGR,2021,462.77206,24386.18,6877222.0,Upper-middle-income countries,Europe
Burkina Faso,BFA,2021,295.16156,2176.0933,21995249.0,Low-income countries,Africa
Burundi,BDI,2021,286.2528,714.0667,12965487.0,Low-income countries,Africa
Cambodia,KHM,2021,305.1071,4354.5654,16974308.0,Lower-middle-income countries,Asia
Cameroon,CMR,2021,295.9206,3689.359,26915764.0,Lower-middle-income countries,Africa
Canada,CAN,2021,80.117714,48356.332,38454058.0,High-income countries,Americas
Cape Verde,CPV,2021,251.23158,6356.745,516655.0,Lower-middle-income countries,Unknown
Cayman Islands,CYM,2021,,69400.67,70126.0,High-income countries,Unknown
Central African Republic,CAF,2021,385.23035,838.19293,5112102.0,Low-income countries,Africa
Chad,TCD,2021,292.3261,1425.4945,17828274.0,Low-income countries,Africa
Chile,CHL,2021,101.99368,25412.752,19456323.0,High-income countries,Americas
China,CHN,2021,234.1229,17657.656,1426437276.0,Upper-middle-income countries,Asia
Colombia,COL,2021,190.24104,14661.213,51188174.0,Upper-middle-income countries,Americas
Comoros,COM,2021,242.92267,3228.5269,818178.0,Lower-middle-income countries,Africa
Congo,COG,2021,319.6412,3700.27,5892186.0,Lower-middle-income countries,Africa
Costa Rica,CRI,2021,93.77736,21220.162,5059992.0,Upper-middle-income countries,Americas
Cote d'Ivoire,CIV,2021,288.5059,5316.464,29639735.0,Lower-middle-income countries,Africa
Croatia,HRV,2021,190.30359,32060.504,3924607.0,High-income countries,Europe
Curacao,CUW,2021,,21090.889,185324.0,High-income countries,Unknown
Cyprus,CYP,2021,90.812126,43417.27,1317312.0,High-income countries,Asia
Czechia,CZE,2021,183.91951,40744.457,10530683.0,High-income countries,Europe
Democratic Republic of Congo,COD,2021,327.8411,1073.6433,99148931.0,Low-income countries,Africa
Denmark,DNK,2021,80.03448,58802.96,5856773.0,High-income countries,Europe
Djibouti,DJI,2021,270.9322,4905.192,1121251.0,Lower-middle-income countries,Africa
Dominica,DMA,2021,216.89517,10899.414,67223.0,Upper-middle-income countries,Americas
Dominican Republic,DOM,2021,202.4511,18626.078,11123480.0,Upper-middle-income countries,Americas
East Asia and Pacific (WB),,2021,,18645.273,,,Unknown
East Timor,TLS,2021,313.27994,5038.926,1350142.0,Lower-middle-income countries,Unknown
Ecuador,ECU,2021,183.27666,10668.758,17682454.0,Upper-middle-income countries,Americas
Egypt,EGY,2021,422.18225,12180.451,110957004.0,Lower-middle-income countries,Africa
El Salvador,SLV,2021,137.08069,9190.174,6255781.0,Lower-middle-income countries,Americas
Equatorial Guinea,GNQ,2021,267.04407,14730.601,1758796.0,Upper-middle-income countries,Africa
Estonia,EST,2021,216.50243,38717.695,1331750.0,High-income countries,Europe
Eswatini,SWZ,2021,328.96872,9086.701,1206599.0,Lower-middle-income countries,Africa
Ethiopia,ETH,2021,173.42017,2319.1611,122138590.0,Low-income countries,Africa
Europe and Central Asia (WB),,2021,,35683.46,,,Unknown
European Union (27),,2021,,44410.605,447705923.0,,Unknown
Fiji,FJI,2021,380.3578,10379.567,916717.0,Upper-middle-income countries,Oceania
Finland,FIN,2021,124.19179,48614.82,5541068.0,High-income countries,Europe
France,FRA,2021,70.00236,44941.438,66083547.0,High-income countries,Europe
Gabon,GAB,2021,231.03056,13822.509,2376728.0,Upper-middle-income countries,Africa
Gambia,GMB,2021,323.86365,2076.5664,2576014.0,Low-income countries,Africa
Georgia,GEO,2021,376.7329,15486.659,3788450.0,Upper-middle-income countries,Asia
Germany,DEU,2021,120.664696,53395.65,83697082.0,High-income countries,Europe
Ghana,GHA,2021,303.0848,5420.792,32518662.0,Lower-middle-income countries,Africa
Greece,GRC,2021,137.45888,29630.93,10579561.0,High-income countries,Europe
Grenada,GRD,2021,197.24504,13688.298,116695.0,Upper-middle-income countries,Americas
Guatemala,GTM,2021,120.76201,8927.302,17598654.0,Upper-middle-income countries,Americas
Guinea,GIN,2021,303.68472,2640.3442,13710516.0,Low-income countries,Africa
Guinea-Bissau,GNB,2021,332.1838,1831.3832,2058842.0,Low-income countries,Africa
Guyana,GUY,2021,262.21048,21925.223,815484.0,Upper-middle-income countries,Americas
Haiti,HTI,2021,427.8694,2881.1765,11374592.0,Lower-middle-income countries,Americas
High-income countries,,2021,,50378.188,1246789058.0,,Unknown
Honduras,HND,2021,256.87616,5572.177,10289882.0,Lower-middle-income countries,Americas
Hong Kong,HKG,2021,,60037.445,7484604.0,High-income countries,Asia
Hungary,HUN,2021,271.21475,33583.785,9707848.0,High-income countries,Europe
Iceland,ISL,2021,88.79358,53135.953,372649.0,High-income countries,Europe
India,IND,2021,241.8013,6677.185,1414203889.0,Lower-middle-income countries,Asia
Indonesia,IDN,2021,318.66992,11859.437,276758056.0,Lower-middle-income countries,Asia
Iran,IRN,2021,190.11673,15004.6875,88455491.0,Lower-middle-income countries,Asia
Iraq,IRQ,2021,386.64514,8786.582,43071210.0,Upper-middle-income countries,Asia
Ireland,IRL,2021,87.08685,104671.875,5028430.0,High-income countries,Europe
Israel,ISR,2021,70.68757,42379.156,8942925.0,High-income countries,Asia
Italy,ITA,2021,88.48147,42562.555,59729354.0,High-income countries,Europe
Jamaica,JAM,2021,330.19653,9605.191,2837682.0,Upper-middle-income countries,Americas
Japan,JPN,2021,69.25353,41258.71,125679341.0,High-income countries,Asia
Jordan,JOR,2021,163.61694,9380.045,11066358.0,Upper-middle-income countries,Asia
Kazakhstan,KAZ,2021,342.28946,26110.53,19743607.0,Upper-middle-income countries,Asia
Kenya,KEN,2021,173.31027,4745.637,53219165.0,Lower-middle-income countries,Africa
Kiribati,KIR,2021,450.26328,2007.987,128386.0,Lower-middle-income countries,Oceania
Kosovo,OWID_KOS,2021,,11884.182,1741449.0,Upper-middle-income countries,Unknown
Kuwait,KWT,2021,146.66508,45579.688,4360749.0,High-income countries,Asia
Kyrgyzstan,KGZ,2021,318.86642,4910.0864,6820483.0,Lower-middle-income countries,Asia
Laos,LAO,2021,344.7385,7846.975,7453191.0,Lower-middle-income countries,Asia
Latin America and Caribbean (WB),,2021,,15956.927,,,Unknown
Latvia,LVA,2021,339.4112,31833.842,1885592.0,High-income countries,Europe
Lebanon,LBN,2021,132.6443,12986.913,5718127.0,Lower-middle-income countries,Asia
Lesotho,LSO,2021,422.68924,2239.3052,2261549.0,Lower-middle-income countries,Africa
Liberia,LBR,2021,271.11392,1423.2296,5259326.0,Low-income countries,Africa
Libya,LBY,2021,264.8385,20273.88,7135180.0,Upper-middle-income countries,Africa
Lithuania,LTU,2021,301.43063,39432.402,2794489.0,High-income countries,Europe
Low-income countries,,2021,,1921.8851,698215270.0,,Unknown
Lower-middle-income countries,,2021,,6865.1377,3180608875.0,,Unknown
Luxembourg,LUX,2021,74.000374,118510.0,640276.0,High-income countries,Europe
Macao,MAC,2021,,66820.91,694404.0,High-income countries,Unknown
Madagascar,MDG,2021,363.0824,1482.3761,29691087.0,Low-income countries,Africa
Malawi,MWI,2021,276.01044,1491.1337,20047263.0,Low-income countries,Africa
Malaysia,MYS,2021,253.98634,26407.316,34282405.0,Upper-middle-income countries,Asia
Maldives,MDV,2021,416.61978,18757.78,516162.0,Upper-middle-income countries,Asia
Mali,MLI,2021,233.32816,2120.6233,22388638.0,Low-income countries,Africa
Malta,MLT,2021,101.27222,46598.96,524383.0,High-income countries,Europe
Marshall Islands,MHL,2021,487.31265,5976.0303,41386.0,Upper-middle-income countries,Oceania
Mauritania,MRT,2021,267.87308,5142.2812,4734875.0,Lower-middle-income countries,Africa
Mauritius,MUS,2021,229.73436,20915.217,1279627.0,Upper-middle-income countries,Africa
Mexico,MEX,2021,166.06906,19617.76,127648152.0,Upper-middle-income countries,Americas
Micronesia (country),FSM,2021,500.5942,3320.9114,111636.0,Lower-middle-income countries,Oceania
Middle East and North Africa (WB),,2021,,16066.921,,,Unknown
Middle-income countries,,2021,,11907.978,,,Unknown
Moldova,MDA,2021,499.88043,13703.939,3023780.0,Upper-middle-income countries,Europe
Mongolia,MNG,2021,344.62488,11668.431,3339678.0,Lower-middle-income countries,Asia
Montenegro,MNE,2021,266.6014,20710.535,603854.0,Upper-middle-income countries,Europe
