Entity,Code,Year,Age-standardized death rate from cardiovascular diseases among both sexes
Afghanistan,AFG,2021,495.5473
Africa,,2021,287.11813
Albania,ALB,2021,256.60635
Algeria,DZA,2021,305.71576
Andorra,AND,2021,72.5818
Angola,AGO,2021,332.9626
Antigua and Barbuda,ATG,2021,123.54684
Argentina,ARG,2021,157.68149
Armenia,ARM,2021,364.27945
Asia,,2021,228.46912
Australia,AUS,2021,71.3781
Austria,AUT,2021,117.81371
Azerbaijan,AZE,2021,266.5256
Bahamas,BHS,2021,203.19183
Bahrain,BHR,2021,265.5515
Bangladesh,BGD,2021,242.49355
Barbados,BRB,2021,135.98112
Belarus,BLR,2021,368.0172
Belgium,BEL,2021,75.250534
Belize,BLZ,2021,146.4836
Benin,BEN,2021,274.15805
Bhutan,BTN,2021,179.65866
Bolivia,BOL,2021,168.2964
Bosnia and Herzegovina,BIH,2021,266.0802
Botswana,BWA,2021,212.19434
Brazil,BRA,2021,166.21169
Brunei,BRN,2021,164.96596
Bulgaria,BGR,2021,462.77206
Burkina Faso,BFA,2021,295.16156
Burundi,BDI,2021,286.2528
Cambodia,KHM,2021,305.1071
Cameroon,CMR,2021,295.9206
Canada,CAN,2021,80.117714
Cape Verde,CPV,2021,251.23158
Central African Rep.,CAF,2021,385.23035
Chad,TCD,2021,292.3261
Chile,CHL,2021,101.99368
China,CHN,2021,234.1229
Colombia,COL,2021,190.24104
Comoros,COM,2021,242.92267
Congo,COG,2021,319.6412
Cook Islands,COK,2021,206.67075
Costa Rica,CRI,2021,93.77736
Cote d'Ivoire,CIV,2021,288.5059
Croatia,HRV,2021,190.30359
Cuba,CUB,2021,214.08842
Cyprus,CYP,2021,90.812126
Czechia,CZE,2021,183.91951
Dem. Rep. Congo,COD,2021,327.8411
Denmark,DNK,2021,80.03448
Djibouti,DJI,2021,270.9322
Dominica,DMA,2021,216.89517
Dominican Republic,DOM,2021,202.4511
East Timor,TLS,2021,313.27994
Ecuador,ECU,2021,183.27666
Egypt,EGY,2021,422.18225
