By Gender,Reason,Gender,Value,Order
Ischemic heart disease-Male,Ischemic heart disease,Male,126.3497479,1
Ischemic heart disease-Female,Ischemic heart disease,Female,101.4494983,2
Stroke-Male,Stroke,Male,95.34872578,3
Stroke-Female,Stroke,Female,88.44048791,4
Hypertensive heart disease-Male,Hypertensive heart disease,Male,14.0843528,5
Hypertensive heart disease-Female,Hypertensive heart disease,Female,19.69613517,6
Cardiomyopathy and myocarditis-Male,Cardiomyopathy and myocarditis,Male,6.193147759,7
Cardiomyopathy and myocarditis-Female,Cardiomyopathy and myocarditis,Female,3.988520586,8
Rheumatic heart disease-Male,Rheumatic heart disease,Male,4.05663456,9
Rheumatic heart disease-Female,Rheumatic heart disease,Female,5.410204334,10
