source,target,value
Africa,High Cholesterol,21.33667496
Africa,Overweight,18.46515189
Africa,High Blood Pressure,71.80356991
Americas,High Cholesterol,39.147412
Americas,Overweight,30.86000948
Americas,High Blood Pressure,97.32259534
Asia,High Cholesterol,45.59135015
Asia,Overweight,18.1767739
Asia,High Blood Pressure,138.5420835
Europe,High Cholesterol,98.44513899
Europe,Overweight,57.43045208
Europe,High Blood Pressure,231.3738989
Oceania,High Cholesterol,35.41810627
Oceania,Overweight,21.37079302
Oceania,High Blood Pressure,76.08776847
